level,border,addvalue
#,概念としては、保存しておく数値は「支払ったポイントの合算」。この合算値が、どのborderに居るかで、levelを判定する,
#,こうしておけば、将来ボーダーを変更しても、ユーザーが支払ったポイントの合算から再計算するだけなので、めんどくさくない,
#,ただ、最大コストが下がる場合は、装備しているレギュラーカードを一度初期化するとかいう処理も必要,
#,見方としては、そのラインより一つしたのborderより以上、今のラインのborder未満なら、そのラインのレベルと判断する,
0,0,0
1,100,100
2,200,100
3,500,300
4,800,300
5,900,100
6,1000,100
7,1100,100
8,1200,100
9,1300,100
10,1450,150
11,1600,150
12,1750,150
13,1900,150
14,2050,150
15,2200,150
16,2350,150
17,2500,150
18,2650,150
19,2800,150
20,2950,150
21,3100,150
22,3250,150
23,3400,150
24,3550,150
25,3700,150
26,3850,150
27,4000,150
28,4150,150
29,4300,150
30,4450,150
31,4600,150
32,4750,150
33,4900,150
34,5050,150
35,5200,150
36,5350,150
37,5500,150
38,5650,150
39,5800,150
40,5950,150
41,6100,150
42,6250,150
43,6400,150
44,6550,150
45,6700,150
46,6850,150
47,7000,150
48,7150,150
49,7300,150
50,7450,150
51,7600,150
52,7750,150
53,7900,150
54,8050,150
55,8200,150
56,8350,150
57,8500,150
58,8650,150
59,8800,150
60,8950,150
61,9100,150
62,9250,150
63,9400,150
64,9550,150
65,9700,150
66,9850,150
67,10000,150
68,10150,150
69,10300,150
70,10450,150
71,10600,150
72,10750,150
73,10900,150
74,11050,150
75,11200,150
76,11350,150
77,11500,150
78,11650,150
79,11800,150
80,11950,150
81,12100,150
82,12250,150
83,12400,150
84,12550,150
85,12700,150
86,12850,150
87,13000,150
88,13150,150
89,13300,150
90,13450,150
91,13600,150
92,13750,150
93,13900,150
94,14050,150
95,14200,150
96,14350,150
97,14500,150
98,14650,150
99,14800,150
100,14950,150
